timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Морось (незамерзающая). Снежные зерна,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,"Пыльная (песчаная) буря, слабая или умеренная",Пыльная/песчаная буря,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Пыльная (песчаная) буря, слабая или умеренная началась (усилилась)",Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,65.8,-2.8,южный,,,4.0,,,0,,0,,,,,10.0,743,-2.8,,,4.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,42.7,,южный,,,5.0,,,,,,,,,,10.0,743,4.7,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,12.0,,,,,,,,,,24.2,,юго-западный,,,6.0,,,,,,,,,,10.0,743,9.7,,,9.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,14.0,,,,,,,,,,18.9,,юго-западный,,,8.0,,,,,,,,,,10.0,742,12.8,,,2.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,14.0,,,,,,,,,,19.0,,юго-западный,,13.9,6.0,,,0,,,,,,,10.0,741,13.2,,,0.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,10.0,,,,,,,,,,32.2,,южный,,,5.0,,,,,,,,,,10.0,742,6.1,,,0.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,33.4,,южный,,,5.0,,,,,,,,,,10.0,742,5.1,,,0.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,37.1,,южный,,10.1,5.0,,,,,,,,,,10.0,742,2.7,,,0.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,51.3,-1.4,южный,,,4.0,,,0,,0,,,,,10.0,743,-0.6,,,2.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,32.6,,западный,,,4.0,,,,,,,,,,10.0,744,6.7,,,9.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,35.2,,западный,,,5.0,,,,,,,,,,10.0,745,10.0,,,9.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,10.0,,,,,,,,,,21.5,,западный,,,7.0,,,,,,,,,,10.0,746,11.7,,,9.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,10.0,,,,,,,,,,26.1,,северо-западный,,13.0,6.0,,,0,,,,,,,10.0,747,9.6,,,9.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,40.2,,северо-западный,,,6.0,,,,,,,,,,10.0,749,4.9,,,2.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,64.5,,северо-западный,,,2.0,,,,,,,,,,10.0,750,0.1,,,0.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,75.9,,западный,,,3.0,,,,,,,,,,10.0,751,-1.5,,,0.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,82.8,-3.7,западный,,,3.0,,,0,,0,,,,,10.0,751,-3.5,,,0.0
