timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Дождь (незамерзающий) слабый с перерывами,Туман без изменений (небо не видно),"Пыльная (песчаная) буря, слабая или умеренная","Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,"Осадки за 6 часов, мм",Балл общей облачности,Туман без изменений (небо видно),Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,747,,,0.6,,58.1,,0.5,,,,южный,,7.0,,,,,3.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,6.9,,42.4,,,,,,южный,,0.0,,,,,5.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,747,,,10.2,,26.5,,,,,,южный,,7.0,,,,,5.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,746,,,12.2,,26.1,,,,,,юго-западный,,6.0,,,,,7.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10,,746,,,12.0,,26.4,,,,,,южный,,0.0,,,,13.1,5.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,746,,,6.2,,37.9,,,,,,юго-восточный,,0.0,,,,,3.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,4.1,,42.5,,,,,,южный,,0.0,,,,,3.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,2.3,,49.1,,,,,,юго-восточный,,0.0,,,,,4.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,747,,,1.5,,50.8,,1.1,,,,южный,,0.0,,,,,4.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,8.9,,28.9,,,,,,южный,,0.0,,,,,3.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,749,,,13.0,,24.0,,,,,,юго-западный,,6.0,,,,,5.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,749,,,12.3,,29.5,,,,,,западный,,7.0,,,,,6.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10,,750,,,10.4,,28.5,,,,,,западный,,7.0,,,,13.5,4.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,752,,,7.6,,38.3,,,,,,северо-западный,,9.0,,,,,5.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,753,,,1.0,,64.2,,,,,,западный,,6.0,,,,,2.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,754,,,-0.8,,73.2,,,,,,северо-западный,,6.0,,,,,2.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,755,,,-3.4,,85.4,,-4.0,,,,западный,,0.0,,,,,2.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,755,,,3.8,,55.9,,-4.2,,,,северо-западный,,0.0,,,,,2.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,754,,,8.4,,31.9,,,,,,западный,,7.0,,,,,7.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,753,,,9.0,,32.3,,,,,,,,7.0,,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,15.0,,,менее 0.1,,,,,,,,,,10,,754,,,3.1,,72.3,,,,True,,северо-западный,,9.0,,,,9.6,9.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,755,,,0.1,,83.9,,,,True,,северо-западный,,7.0,,,,,5.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,755,,,-1.1,,76.5,,,,,,северо-западный,,4.0,,,,,5.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,756,,,-2.7,,75.6,,,,,,северо-западный,,0.0,,,,,4.0
