timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C",Дождь со снегом (ледяной дождь),"Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Снег умеренный непрерывный,"Температура воздуха, °C",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,57.5,,,0.1,западный,,,,1,,,0,,,,0,,,10.0,744,,0.1,,,,4.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,47.4,,,0.0,юго-западный,,,,2,,,,,,,,,,10.0,745,,4.1,,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,31.6,,,,западный,,,,4,,,,,,,,,,10.0,745,,10.0,,,,4.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,10.0,,,,,,,,28.4,,,,юго-западный,,,,4,,,,,,,,,,10.0,745,,9.9,,,,7.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,28.6,,,,юго-западный,,10.7,,1,,,0,,,,,,,10.0,744,,9.3,,,,4.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,35.0,,,,южный,,,,2,,,,,,,,,,10.0,744,,6.7,,,,4.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,41.6,,,,южный,,,,1,,,,,,,,,,,745,,4.4,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,51.6,,,,,,,,0,,,,,,,,,,,744,,1.6,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,60.1,,,-0.2,,,,,0,,,0,,,,0,,,10.0,745,,-0.1,,,,0.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,32.4,,,,юго-западный,,,,4,,,,,,,,,,10.0,745,,8.7,,,,0.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,12.0,,,,,,,,16.2,,,,западный,,,,7,,,,,,,,,,10.0,745,,14.8,,,,0.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,16.0,,,,,,,,14.4,,,,западный,,,,6,,,,,,,,,,10.0,744,,16.0,,,,2.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,14.0,,,,,,,,26.1,,,,северо-западный,,16.0,,5,,,0,,,,,,,10.0,745,,13.0,,,,7.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,40.7,,,,западный,,,,1,,,,,,,,,,10.0,747,,8.5,,,,10.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,46.6,,,,западный,,,,2,,,,,,,,,,10.0,747,,5.0,,,,9.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,62.0,,,,юго-западный,,,,1,,,,,,,,,,10.0,748,,1.9,,,,4.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,77.1,,,-0.9,западный,,,,1,,,0,,,,0,,,10.0,749,,-0.8,,,,0.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,49.3,,,,северный,,,,2,,,,,,,,,,10.0,749,,5.7,,,,0.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,30.1,,,,северо-западный,,,,3,,,,,,,,,,10.0,749,,7.4,,,,7.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,10.0,,,,,,,,23.4,,,,северо-западный,,,,5,,,,,,,,,,10.0,748,,8.4,,,,6.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,True,,,,17.1,,,,северо-западный,,8.8,,4,,,менее 0.1,,,,,,,10.0,748,,7.4,,,,4.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,37.6,,,,западный,,,,2,,,,,,True,,,,10.0,748,,1.3,,,,6.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,66.5,,,,северо-западный,,,,2,,,,,,,,,,10.0,748,,2.3,,,,10.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,10.0,,,,,,,,96.4,,,,северный,,,,4,,,,,,,,,,4.0,747,,-0.7,,True,,10.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,12.0,,,,,,,,83.0,,,-1.6,северо-западный,,,True,4,,,1,,1.0,,1,,,10.0,749,,-1.6,,,,10.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,10.0,,,,True,,,,77.7,,,-2.3,северный,,,,4,,,,,,,,,,10.0,750,,-1.1,,,,7.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,12.0,,,,,,,,54.5,,,,северный,,,,5,,,,,,,,,,10.0,751,,1.7,,,,7.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,13.0,,True,,,,,,41.5,,,,северный,,,,4,,,,,,,,,,10.0,751,,2.8,,,,7.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,12.0,,,,,,,,45.0,,,,северо-западный,,3.5,,5,,,менее 0.1,,,,,,,10.0,752,,1.1,,,True,7.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,14.0,,,,True,,,,54.6,,,,северный,,,,3,,,,,,,,,,10.0,754,,-0.7,,,,2.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,51.9,,,,северо-западный,,,,4,,,,,,,,,,10.0,754,,-1.5,,,,0.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,48.6,,,,северо-западный,,,,4,,,,,,,,,,10.0,755,,-2.0,,,,0.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,56.2,,,-3.0,северный,,,,3,,,0,,,,менее 0.1,,,10.0,756,,-2.8,,,,0.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,11.0,,,,,,,,49.3,,,,северный,,,,4,,,,,,,,,,10.0,757,,0.6,,,,0.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,10.0,,,,,,,,30.7,,,,северный,,,,4,,,,,,,,,,10.0,758,,4.7,,,,1.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,23.4,,,,северный,,,,3,,,,,,,,,,10.0,757,,5.7,,,,7.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,10.0,,,,,,,,22.6,,,,северо-западный,,5.9,,4,,,0,,,,,,,10.0,756,,4.9,,,,4.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,35.8,,,,юго-западный,,,,1,,,,,,,,,,10.0,756,,-1.4,,,,2.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,37.6,,,,юго-западный,,,,4,,,,,,,,,,10.0,755,,-1.5,,,,0.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,37.8,,,,юго-западный,,,,3,,,,,,,,,,10.0,753,,0.2,,,,7.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,37.2,,,-2.4,юго-западный,,,,4,,,0,,,,0,,,10.0,751,,1.1,,,,10.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,10.0,,,,,,,,37.2,,,,западный,,,,5,,,,,,,,,,10.0,748,,7.6,,,,7.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,14.0,,,,,,,,23.9,,,,западный,,,,7,,,,,,,,,,10.0,746,,15.2,,,,7.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,15.0,,,,,,,,14.9,,,,западный,,,,6,,,,,,,,,,10.0,744,,17.8,,,,7.0
