timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Мгла,Ухудшение видимости из-за дыма или вулканического пепла,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,Морось (незамерзающая) умеренная непрерывная,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый,Дождь (незамерзающий)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,73.7,,-1.4,южный,,2,,,,0,,,,,,,20.0,737,,,-0.8,,,4.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,44.9,,,юго-западный,,3,,,,,,,,,,,20.0,738,,,4.2,,,9.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,31.6,,,юго-западный,,5,,,,,,,,,,,50.0,739,,,6.0,,,9.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11.0,,,,,,,,33.1,,,западный,,4,,,,,,,,,,,50.0,739,,,7.4,,,9.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,42.3,,,южный,8.2,2,,,,0,,,,,,,10.0,740,,,5.6,,,9.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,51.2,,,юго-восточный,,2,,,,,,,,,,,10.0,741,,,2.9,,,10.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,55.6,,,юго-восточный,,1,,,,,,,,,,,10.0,741,,,1.1,,,10.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,61.9,,,восточный,,2,,,,,,,,,,,10.0,741,,,-0.4,,,10.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,58.5,,-0.9,юго-восточный,,2,,,,0,,0,,,,,20.0,741,,,0.6,,,9.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,59.7,,,южный,,2,,,,,,,,,,,20.0,740,,,3.5,,,10.0,,
