timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Дождь (незамерзающий)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,49.2,-1.7,южный,,,1,,0,,,,,,,10,743,,,,0.1,,,,7.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,37.1,,южный,,,2,,,,,,,,,10,744,,,,5.6,,,,7.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,25.5,,юго-западный,,,3,,,,,,,,,20,744,,,,9.5,,,,6.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11.0,,,,,,,,27.1,,северо-западный,,,2,,,,,,,,,10,745,,,,8.6,,,,7.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,53.2,,юго-восточный,,9.9,1,,0,,,,,,,20,745,,,,3.0,,,,2.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,66.3,,восточный,,,1,,,,,,,,,10,746,,,,-0.8,,,,2.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,78.3,,юго-западный,,,1,,,,,,,,,4,747,,,,-0.7,,,,10.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,65.8,,южный,,,1,,,,,,,,,4,746,,,,1.7,,,,9.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,54.4,-1.1,юго-восточный,,,2,,0,,,,0,,,10,745,,,,2.8,,,,9.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,47.5,,восточный,,,2,,,,,,,,,10,744,,,,4.7,,,,10.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,43.1,,восточный,,,3,,,,,,,,,10,741,,,,8.1,,,,10.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,48.9,,южный,,,1,,,,,,,,,10,740,,,,9.4,,True,,10.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,85.2,,юго-восточный,,9.7,2,,0.6,,,,,,,20,739,,,,6.4,,True,,10.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,90.7,,северо-западный,,,1,,,,,,,,,4,738,,,,6.2,,True,,10.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,90.7,,северо-западный,,,1,,,,,,,,,4,737,,,,5.2,,,,10.0,,
