timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Ливневый дождь со снегом,Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый",Снег умеренный непрерывный,"Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Снег,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,0,,,,0,,,10.0,750.0,,,,-0.2,,,66.9,,-0.3,,восточный,,0.0,,,,2
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,751.0,,,,5.7,,,44.3,,,,южный,,0.0,,,,1
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,750.0,,,,10.4,,,30.3,,,,юго-западный,,6.0,,,,2
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,749.0,,,,11.6,,,26.9,,,,южный,,4.0,,,,2
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,0,,,,,,,10.0,749.0,,,,10.6,,,27.9,,,,южный,,0.0,,,12.4,1
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,750.0,,,,8.2,,,30.6,,,,южный,,0.0,,,,1
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,750.0,,,,4.3,,,40.0,,,,западный,,0.0,,,,1
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,749.0,,,,2.9,,,45.6,,,,восточный,,0.0,,,,2
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,0,,,,0,,,10.0,749.0,,,,1.7,,,50.0,,1.6,,восточный,,0.0,,,,2
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,749.0,,,,7.3,,,36.0,,,,восточный,,0.0,,,,1
