timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Морось (незамерзающая). Снежные зерна,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Ухудшение видимости из-за дыма или вулканического пепла,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Туман ослабел (небо не видно),Град,Ливневой снег слабый,Снег слабый непрерывный,Ливневый дождь со снегом,Снег слабый с перерывами,Снег умеренный непрерывный,Снег сильный непрерывный
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,74.4,,,южный,,,2.0,,,,,,,,,,,20,750.0,,,5.6,,,,6.0,,,,,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,47.3,,,юго-западный,,,2.0,,,,,,,,,,,20,752.0,,,8.8,,,,10.0,,,,,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,32.1,,,юго-западный,,,2.0,,,,,,,,,,,20,753.0,,,8.4,,,,6.0,,,,,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,43.3,,,западный,,9.2,2.0,,0,,,,,,,,,20,755.0,,,5.4,,,,0.0,,,,,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,59.4,,,юго-западный,,,1.0,,,,,,,,,,,20,758.0,,,0.6,,,,0.0,,,,,,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,61.0,,,юго-западный,,,1.0,,,,,,,,,,,20,760.0,,,-0.5,,,,0.0,,,,,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,69.0,,,,,,0.0,,,,,,,,,,,20,761.0,,,-2.6,,,,0.0,,,,,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,79.0,,-4.3,,,,0.0,,0,,53.0,,,0,,,,20,763.0,,,-4.0,,,,10.0,,,,,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,59.7,,-4.4,южный,,,1.0,,,,,,,,,,,20,764.0,,,0.1,,,,4.0,,,,,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,37.3,,,юго-западный,,,1.0,,,,,,,,,,,20,764.0,,,7.2,,,,2.0,,,,,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,30.0,,,северо-восточный,,,1.0,,,,,,,,,,,20,764.0,,,7.8,,,,0.0,,,,,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,32.8,,,северо-восточный,,8.4,1.0,,0,,,,,,,,,20,763.0,,,6.6,,,,0.0,,,,,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,51.1,,,северо-восточный,,,1.0,,,,,,,,,,,20,764.0,,,1.2,,,,0.0,,,,,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,57.2,,,северо-восточный,,,1.0,,,,,,,,,,,20,763.0,,,-1.0,,,,0.0,,,,,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,61.0,,,северо-восточный,,,1.0,,,,,,,,,,,20,763.0,,,-2.3,,,,0.0,,,,,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,56.7,,-2.9,северо-восточный,,,1.0,,0,,50.0,,,0,,,,20,763.0,,,-2.6,,,,0.0,,,,,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,37.2,,,восточный,,,1.0,,,,,,,,,,,20,762.0,,,3.8,,,,0.0,,,,,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,27.2,,,северо-восточный,,,1.0,,,,,,,,,,,20,761.0,,,8.2,,,,0.0,,,,,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,26.4,,,восточный,,,2.0,,,,,,,,,,,20,759.0,,,9.0,,,,0.0,,,,,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,30.3,,,северо-восточный,,9.3,1.0,,0,,,,,,,,,20,757.0,,,7.3,,,,7.0,,,,,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,38.8,,,восточный,,,2.0,,,,,,,,,,,20,756.0,,,4.3,,,,0.0,,,,,,,,
