timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм","Высота снежного покрова, см",Ливневый дождь со снегом,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Изменение количества облаков неизвестно,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой снег умеренный или сильный,Снежная крупа (возможно с дождем) слабая,Дождь (незамерзающий) слабый с перерывами
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,10,753,,,5.9,,77.7,,,юго-западный,10,,,,,2,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,10,755,,,7.1,,61.0,,True,западный,10,,,,,2,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,10,757,,,6.1,,45.5,,,западный,10,,,,,2,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,менее 0.1,,,,,,,,,10,758,,,4.9,,47.2,,,западный,0,,,,7.8,2,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,,10,760,,,2.0,,57.1,,,северо-западный,4,,,,,1,,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,10,762,,,-0.2,,63.4,,,,0,,,,,0,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,10,763,,,-2.4,,72.9,,,,0,,,,,0,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,0,12.0,,,менее 0.1,,,,,10,764,,,-3.5,,82.8,-3.5,,,0,,,,,0,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,True,4,765,,,3.1,,53.6,-3.6,,восточный,4,,,,,2,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,10,765,,,6.2,,38.5,,,северо-восточный,6,,,,,1,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,10,764,,,7.2,,33.0,,,восточный,2,,,,,2,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,764,,,6.1,,31.9,,,восточный,0,,,,7.6,2,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,,10,764,,,3.7,,41.8,,,восточный,0,,,,,1,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,10,763,,,2.2,,46.4,,,восточный,0,,,,,1,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,10,762,,,0.8,,51.0,,,восточный,0,,,,,1,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,0,3.0,,,0,,,,,10,761,,,-0.3,,53.5,-0.3,,восточный,2,,,,,2,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,10,760,,,3.5,,45.1,-0.4,,восточный,0,,,,,3,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,10,759,,,8.8,,35.3,,,восточный,6,,,,,3,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,10,757,,,11.0,,31.0,,,восточный,7,,,,,3,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,756,,,9.4,,32.4,,,восточный,2,,,,11.3,2,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,,10,754,,,6.1,,36.4,,,восточный,0,,,,,2,,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,10,752,,,4.7,,31.5,,,восточный,6,,,,,2,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,10,750,,,3.4,,32.6,,,восточный,7,,,,,3,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,0,1.0,,,0,,,,,10,748,,,2.6,,37.1,2.6,,восточный,7,,,,,2,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,10,748,,,6.3,,32.0,2.2,,южный,0,,,,,1,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,10,748,,,8.4,,33.9,,,юго-западный,2,,,,,3,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,10,749,,,9.6,,48.6,,,юго-западный,0,,,,,4,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,751,,,7.6,,65.7,,,западный,2,,,,10.2,1,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,10,752,,,4.8,,77.5,,,юго-западный,10,,,,,1,,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,10,752,,,4.3,,79.7,,,юго-западный,10,,,,,1,,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,10,752,,,4.4,,79.7,,,,10,,,,,0,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,0,1.0,,,0,,,,,10,752,,,4.4,,79.1,4.3,,юго-восточный,10,,,,,1,,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,10,752,,,7.1,,69.0,,,юго-восточный,7,,,,,2,,,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,10,751,,,11.4,,50.5,,,южный,2,,,,,1,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,10,750,,,12.7,,41.0,,,юго-восточный,10,,,,,3,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,748,,,11.7,,44.1,,,восточный,10,,,,13.6,2,,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,,10,746,,,9.8,,51.2,,,юго-восточный,4,,,,,4,,,,
