timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневый дождь,Дымка (видимость больше 1 км),Ливневой дождь слабый,Мгла,Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег слабый,Ливневый дождь со снегом
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,6.9,81.2,,,,южный,7,,,3,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50,753,,,10.7,64.1,,,,южный,6,,,3,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50,754,,,8.6,57.6,,,,западный,9,,,3,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,10.0,,0,,,,,,,,,,,,50,755,,,7.2,56.8,,,,западный,7,,11.2,2,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,3.0,58.2,,,,западный,2,,,3,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,759,,,1.1,63.7,,,,западный,1,,,2,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,761,,,-3.5,88.7,,,,,0,,,0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,0,,25.0,,,0,,,,,,,20,762,,,-5.7,94.1,-6.0,,,,0,,,0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,763,,,1.9,65.9,,,,северный,4,,,1,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,763,,,6.3,35.7,,,,северо-западный,7,,,2,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,6.9,35.0,,,,северо-западный,7,,,4,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,761,,,6.4,37.7,,,,северный,2,,7.6,2,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,1.2,51.1,,,,северный,0,,,1,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,-0.2,53.1,,,,западный,0,,,2,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,761,,,-3.7,67.2,,,,западный,0,,,1,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,0,,22.0,,,0,,,,,,,20,761,,,-3.8,64.0,-4.5,,,западный,0,,,1,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,50,761,,,4.7,32.5,,,,северный,0,,,1,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50,759,,,8.6,20.7,,,,южный,0,,,2,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50,757,,,10.8,16.2,,,,юго-западный,0,,,2,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,50,756,,,11.0,20.7,,,,,2,,12.6,0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,5.5,27.5,,,,восточный,0,,,1,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,0.0,50.7,,,,,0,,,0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,-2.9,60.8,,,,западный,0,,,1,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,0,,17.0,,,0,,,,,,,20,749,,,-4.9,72.9,-5.2,,,,7,,,0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,3.3,39.1,,,,южный,6,,,1,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,8.5,31.4,,,,южный,5,,,2,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,12.5,27.8,,,,южный,5,,,2,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,748,,,11.4,34.3,,,,юго-западный,2,,13.8,3,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,6.7,58.3,,,,южный,9,,,1,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,4.2,77.4,,,,западный,7,,,1,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,3.4,86.1,,,,южный,10,,,1,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,0,,13.0,,,0,,,,,,,20,751,,,3.2,88.0,3.1,,,южный,10,,,2,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,3.7,86.1,3.0,,,южный,10,,,1,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,5.4,77.6,,,,южный,10,,,2,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,8.6,58.8,,,,юго-восточный,9,,,2,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,749,,,7.7,60.3,,,,восточный,7,,8.8,1,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,3.6,78.4,,,,юго-западный,7,,,1,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,0.9,90.4,,,,восточный,4,,,1,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,0.4,89.7,,,,юго-восточный,5,,,1,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,0,,10.0,,,0,,,,,,,20,745,,,4.8,71.1,0.1,,,южный,7,,,2,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,,,True,,,10,748,,,7.1,51.2,,,,западный,10,,,2,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,7.4,48.0,,True,,южный,10,,,2,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,6.9,40.5,,,,юго-западный,10,,,3,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,менее 0.1,,,,,,,,,,,,20,752,,,6.0,44.4,,,,южный,10,,8.6,1,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,2.9,52.0,,,,юго-западный,10,,,2,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,2.2,52.2,,,,юго-западный,10,,,1,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,0.9,64.2,,,,юго-восточный,10,,,1,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,0,,7.0,,,менее 0.1,,,,,,,20,755,,,0.6,66.6,0.3,,,южный,10,,,2,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,2.8,61.8,,,,южный,10,,,2,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,5.5,39.2,,,,южный,10,,,2,,
