timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой снег слабый,Снег слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,746,,,6.0,,46.2,,,,юго-восточный,0,,,4,,,,
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,746,,,12.6,,33.1,,,,южный,0,,,1,,,,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,10,745,,,13.3,,28.7,,,,южный,4,,,4,,,,
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,15.0,,0,,,,,,,,,10,746,,,9.7,,44.5,,,,южный,7,,15.1,3,,,,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,747,,,7.2,,69.0,,True,,южный,7,,,4,,,,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,747,,,6.6,,74.5,,True,,южный,10,,,3,,,,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,748,,,6.2,,84.0,,,,южный,6,,,3,,,,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,0.5,,27.0,,0.5,,,,,10,749,,,5.1,,88.1,5.1,,,южный,4,,,3,,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,751,,,6.4,,80.0,,,,юго-западный,0,,,3,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,751,,,9.2,,70.4,,,,юго-западный,4,,,2,,,,
