timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Ухудшение видимости из-за дыма или вулканического пепла,"Гроза, но без осадков","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм",В окрестности станции тумана нет,Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый,Осадки (достигают поверхности земли),"Высота снежного покрова, см"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,25.7,,,северный,,,1,,,,,,,,,,,,50,725,,,9.6,,,,0.0,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,13.9,,,северный,,,1,,,,,,,,,,,,50,723,,,15.3,,,,0.0,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,10.8,,,западный,,,3,,,,,,,,,,,,50,722,,,17.8,,,,1.0,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,13.4,,,юго-восточный,,18.0,1,,,,0,,,,,,,,50,722,,,13.4,,,,1.0,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,34.0,,,восточный,,,2,,,,,,,,,,,,50,723,,,4.5,,,,0.0,,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,50.7,,,южный,,,1,,,,,,,,,,,,50,723,,,0.0,,,,0.0,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,62.8,,,восточный,,,2,,,,,,,,,,,,50,723,,,-2.7,,,,0.0,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,58.9,,-3.5,восточный,,,1,,,,0,,,0,,,,,50,724,,,-1.3,,,,1.0,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,37.5,,,северо-западный,,,1,,,,,,,,,,,,50,723,,,7.8,,,,0.0,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,17.9,,,западный,,,2,,,,,,,,,,,,50,721,,,16.5,,,,2.0,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,10.4,,,северный,,,3,,,,,,,,,,,,50,721,,,17.3,,,,9.0,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,16.9,,,северо-западный,,18.2,2,,,,0,,,,,,,,50,721,,,13.3,,,,7.0,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,30.4,,,юго-западный,,,2,,,,,,,,,,,,50,722,,,8.2,,,,6.0,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,45.4,,,северный,,,2,,,,,,,,,,,,50,724,,,5.7,,,,4.0,,,,
