timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь,Количество облаков уменьшилось,Ухудшение видимости из-за дыма или вулканического пепла,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Туман ослабел (небо видно),Количество облаков увеличилось,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Ливневый дождь со снегом
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,15.0,,,,,,,23.3,,,западный,,,8,,,,,,,,,,,,10,750,,,4.5,,,,,7.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,15.0,,,,,,,21.6,,,западный,,,6,,,,,,,,,,,,10,750,,,4.3,,,,,9.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,56.1,,,западный,,5.6,5,,,,0,,,,,,,,10,752,,,1.6,,,,,9.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,77.2,,,восточный,,,2,,,,,,,,,,,,10,752,,,-0.4,,,,,9.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,58.5,,,северо-восточный,,,6,,,,,,,,,,,,10,752,,,0.5,,,,,9.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,15.0,,,,,,,64.6,,,северо-восточный,,,9,,,,,,,,,,,,10,753,,,-1.4,,,,,9.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,16.0,,,,,,,71.3,,-2.1,северо-восточный,,,10,,,,0,,,,0,,,,10,753,,,-1.8,,,,,9.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,16.0,,,,,,,82.4,,,северо-восточный,,,9,,,,,,,,,,,,9,754,,,-1.7,,,,,10.0,True,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,17.0,,,,,,,99.3,,,северо-восточный,,,9,,True,,,,,,,,,,0,755,,,-0.6,,,,,10.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,17.0,,,,,,,94.3,,,северо-восточный,,,11,,,,,,,,,,,,7,755,,,0.1,,,,,10.0,True,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,17.0,,,,,,,95.7,,,северо-восточный,,0.2,11,,True,,2,,,,,,,,1,757,,,-0.1,,,,,10.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,17.0,,,,,,,94.3,,,северо-восточный,,,9,,,,,,,,,,,,9,758,,,-0.5,,,,,10.0,True,
