timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,"Осадки за 12 часов, мм","Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C",Морось (незамерзающая) сильная непрерывная,Снег слабый непрерывный,Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,,,,,,,33.4,,,южный,,,5.0,,,,,,,,,,,50,742,,,,9.3,,,,,0.0,,
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,,33.5,,,южный,,,4.0,,,,,,,,,,,50,741,,,,11.4,,,,,1.0,,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,,,,,,,,,,27.9,,,южный,,11.6,4.0,,,0,,,,,,,,50,740,,,,10.0,,,,,6.0,,
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,,,,,,,,,,30.2,,,северный,,,6.0,,,,,,,,,,,50,742,,,,9.9,,,,,0.0,,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,10.0,,,,,,,,,,35.1,,,северный,,,6.0,,,,,,,,,,,50,743,,,,8.1,,,,,0.0,,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,10.0,,,,,,,,,,59.3,,,северный,,,7.0,,,,,,,,,,,50,744,,,,3.7,,,,,0.0,,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,11.0,,,,,,,,,,69.8,,1.2,северный,,,5.0,,,0,,,,0,,,,50,745,,,,1.2,,,,,0.0,,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,,40.6,,1.0,северный,,,4.0,,,,,,,,,,,50,744,,,,5.1,,,,,0.0,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,26.7,,,южный,,,6.0,,,,,,,,,,,50,743,,,,8.5,,,,,2.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,15.0,,,,,,,,,,30.0,,,южный,,,9.0,,,,,,,,,,,50,741,,,,6.3,,,,,9.0,,
