timestamp,date,Ливневой снег умеренный или сильный,Морось (незамерзающая) умеренная непрерывная,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Ливневой дождь со снегом слабый,"Высота снежного покрова, см",В окрестности станции тумана нет,Ливневый дождь со снегом,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Морось (незамерзающая) слабая с перерывами,Ливневый дождь,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,Балл общей облачности,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) умеренный непрерывный
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,18.0,,,,,,,,,,,,,,,,,True,,10.0,743,,,2.8,54.4,,,,,,северо-западный,10.0,,,3.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,14.0,,,,,,,,,,,,,,,,,,,20.0,743,,,2.6,59.0,,,,,,юго-восточный,10.0,,,1.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,0.1,,,,,,,,,,,,,,,20.0,745,,,1.4,57.4,,,,,,северо-западный,9.0,,4.4,6.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,748,,,0.7,55.5,,,,,,северо-западный,9.0,,,7.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,751,,,-0.6,53.4,,,,,,северо-западный,9.0,,,8.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,753,,,-1.2,40.9,,,,,,северный,9.0,,,6.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,0,,,78.0,,,0.1,,,,,,,,,50.0,756,,,-1.3,31.7,,,-1.9,,,северный,2.0,,,5.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,758,,,2.3,30.0,,,,,,западный,10.0,,,1.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,4.3,30.1,,,,,,южный,10.0,,,1.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,1.2,69.3,,,,,,юго-восточный,10.0,,,5.0,
