timestamp,date,Ливневой снег умеренный или сильный,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь со снегом слабый,"Высота снежного покрова, см",Количество облаков увеличилось,Ливневый дождь со снегом,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневый дождь,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман без изменений (небо не видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,736,,,,2.4,40.7,,1.9,,южный,10.0,,,1,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,736,,,,6.8,29.9,,1.9,,южный,0.0,,,3,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,736,,,,11.9,20.1,,,,юго-западный,0.0,,,5,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,,,,,10.0,735,,,,13.5,15.4,,,,юго-западный,0.0,,,6,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,14.0,,,0,,,,,,,,,,10.0,735,,,,13.4,14.1,,,,юго-западный,0.0,,,4,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,736,,,,9.9,18.5,,,,юго-западный,0.0,,14.1,4,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,736,,,,8.0,22.1,,,,юго-западный,0.0,,,4,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,737,,,,4.9,28.9,,,,юго-западный,0.0,,,3,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,738,,,,2.9,37.5,,2.8,,западный,10.0,,,1,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,740,,,,5.9,39.9,,2.8,,западный,9.0,,,2,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,741,,,,10.4,23.5,,,,западный,7.0,,,5,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,741,,,,10.9,19.5,,,,западный,7.0,,,5,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10.0,743,,,,9.0,18.4,,,,западный,6.0,,,5,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,10.0,,,0,,,,,,,,,,10.0,744,,,,4.5,34.8,,,,северо-западный,0.0,,11.7,1,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,746,,,,2.0,45.7,,,,северо-западный,0.0,,,1,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,746,,,,0.9,54.7,,,,северо-западный,0.0,,,1,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,747,,,,-1.1,64.2,,-1.7,,северо-западный,0.0,,,1,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,748,,,,4.5,49.0,,-1.7,,западный,2.0,,,2,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,748,,,,6.8,32.1,,,,северо-западный,6.0,,,5,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10.0,747,,,,8.0,23.5,,,,западный,7.0,,,5,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,747,,,,7.0,20.9,,,,северо-западный,7.0,,,4,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,14.0,,,0,,,,,,,,,,10.0,749,,,,2.5,49.9,,,,северо-западный,7.0,,8.8,4,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,750,,,,-0.7,65.8,,,,северо-западный,0.0,,,1,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,751,,,,-1.4,57.5,,,,северо-западный,0.0,,,2,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,751,,,,-2.7,59.5,,-2.7,,северо-западный,0.0,,,1,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,3.2,35.8,,-2.7,,северо-западный,0.0,,,3,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,752,,,,7.0,21.6,,,,северо-западный,6.0,,,4,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,752,,,,9.6,14.0,,,,северо-западный,6.0,,,4,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,11.0,,,0,,,,,,,,,,10.0,751,,,,9.3,18.2,,,,северо-западный,7.0,,,3,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,7.0,24.0,,,,северный,10.0,,9.7,1,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,752,,,,5.7,28.7,,,,северо-западный,10.0,,,1,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,753,,,,4.4,42.6,,,,северный,7.0,,,2,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,754,,,,1.5,51.2,,1.5,,северный,0.0,,,2,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,755,,,,5.6,36.6,,1.4,,северо-восточный,1.0,,,1,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,755,,,,8.8,27.2,,,,северный,0.0,,,1,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10.0,753,,,,11.6,25.9,,,,западный,7.0,,,2,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,12.0,30.5,,,,северо-западный,6.0,,,2,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,8.2,41.8,,,,южный,0.0,,12.6,1,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,750,,,,7.5,43.6,,,,юго-западный,0.0,,,2,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,749,,,,5.7,49.7,,,,юго-западный,0.0,,,3,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,747,,,,5.1,51.4,,5.1,,юго-западный,0.0,,,3,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,11.0,,,0,,,,,,,,,,10.0,744,,,,9.8,34.0,,5.1,,юго-западный,0.0,,,4,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,,,,,10.0,742,,,,16.2,21.2,,,,западный,7.0,,,6,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,,,10.0,742,,,,14.9,27.9,,,,северо-западный,7.0,,,5,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,742,,,,13.3,30.5,,,,северо-западный,6.0,,,4,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,743,,,,9.9,46.9,,,,северо-западный,2.0,,16.5,3,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743,,,,6.8,60.1,,,,северо-западный,0.0,,,2,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743,,,,4.6,70.5,,,,северо-западный,2.0,,,2,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,743,,,,2.7,83.0,,2.6,,северо-западный,2.0,,,1,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,743,,,,8.4,63.6,,2.6,,,2.0,,,0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,742,,,,13.7,37.6,,,,западный,4.0,,,3,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10.0,741,,,,15.4,29.5,,,,юго-западный,5.0,,,3,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,739,,,,15.3,29.3,,,,юго-западный,9.0,,,3,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,739,,,,12.0,34.7,,,,юго-западный,0.0,,15.8,2,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,9.2,41.8,,,,юго-западный,0.0,,,1,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,736,,,,8.7,42.0,,,,юго-западный,2.0,,,1,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,735,,,,8.3,42.2,,7.9,,юго-западный,10.0,,,2,
