timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь очень сильный,Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),Дождь (незамерзающий) умеренный с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Снег сильный непрерывный,Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,745.0,,-0.6,,49.0,,,-0.8,,юго-западный,4.0,,,3.0
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,745.0,,2.2,,39.4,,,,,юго-западный,0.0,,,4.0
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,10,745.0,,8.8,,23.9,,,,,юго-западный,6.0,,,5.0
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,10,744.0,,9.6,,20.6,,,,,юго-западный,7.0,,,3.0
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,11.0,,0,,,,,,,,,,,10,744.0,,9.0,,22.2,,,,,юго-западный,7.0,,10.5,5.0
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,10.0,,,,,,,,,,,,,0,745.0,,5.4,,34.3,,,,,юго-западный,0.0,,,2.0
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,0,746.0,,1.5,,49.2,,,,,,6.0,,,0.0
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,-0.4,,61.5,,,,,,6.0,,,0.0
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,746.0,,-0.8,,64.8,,,-0.8,,юго-восточный,10.0,,,1.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,5.8,,35.5,,,-1.0,,юго-восточный,0.0,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,12.1,,20.8,,,,,юго-западный,0.0,,,3.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,,,,10,745.0,,14.3,,14.1,,,,,юго-западный,0.0,,,4.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,13.0,,0,,,,,,,,,,,10,744.0,,14.3,,14.1,,,,,юго-западный,0.0,,15.0,3.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,745.0,,10.7,,22.8,,,,,юго-западный,0.0,,,1.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,8.4,,25.0,,,,,юго-западный,0.0,,,2.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,6.5,,29.4,,,,,юго-западный,0.0,,,2.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,747.0,,5.3,,29.7,,,5.3,,юго-западный,0.0,,,3.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,748.0,,7.9,,24.7,,,5.0,,юго-западный,4.0,,,3.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,748.0,,12.6,,25.0,,,,,западный,9.0,,,4.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,10,749.0,,13.3,,23.2,,,,,западный,7.0,,,5.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,10.0,,0,,,,,,,,,,,10,749.0,,12.1,,18.8,,,,,западный,7.0,,14.1,5.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,,,,10,752.0,,7.1,,24.8,,,,,северо-западный,0.0,,,4.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,753.0,,3.2,,37.0,,,,,северо-западный,0.0,,,3.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,754.0,,1.0,,49.8,,,,,северо-западный,0.0,,,4.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,754.0,,-0.8,,64.8,,,-1.1,,западный,0.0,,,3.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,755.0,,4.2,,51.9,,,,,западный,0.0,,,4.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,,,10,755.0,,8.3,,27.2,,,,,западный,7.0,,,5.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,,,,10,754.0,,7.0,,36.1,,,,,западный,9.0,,,5.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,14.0,,менее 0.1,,,,,,,,,,,10,754.0,,5.0,,50.6,,,,True,северо-западный,9.0,,9.6,7.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,16.0,,,,,,,True,,,,,,10,756.0,,0.7,,72.9,,,,,северо-западный,1.0,,,5.0
