timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C",Снег умеренный непрерывный,"Гроза, дождь слабый","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,0,,,0,,,,10,750,,,,0.7,,,68.7,,0.5,,юго-восточный,0,,,1
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,10,750,,,,6.7,,,43.6,,,,юго-восточный,0,,,2
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,10,750,,,,11.2,,,28.7,,,,юго-восточный,2,,,3
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,10,749,,,,12.4,,,23.6,,,,южный,2,,,3
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,0,,,,,,,10,749,,,,11.5,,,24.7,,,,южный,0,,13.3,1
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,10,750,,,,7.9,,,35.3,,,,южный,0,,,2
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,10,750,,,,6.2,,,43.2,,,,южный,0,,,2
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,10,750,,,,8.3,,,30.4,,,,западный,0,,,3
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,0,,,0,,,,10,750,,,,7.2,,,32.2,,4.0,,западный,0,,,4
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,10,751,,,,12.8,,,21.6,,,,юго-западный,0,,,3
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,10,751,,,,15.8,,,16.4,,,,юго-западный,0,,,4
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,10,750,,,,16.9,,,15.4,,,,юго-западный,0,,,5
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,10,750,,,,15.2,,,16.9,,,,юго-западный,0,,17.2,3
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,10,750,,,,12.5,,,21.9,,,,юго-западный,0,,,2
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,10,751,,,,9.0,,,34.3,,,,северо-западный,2,,,4
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,10,751,,,,8.0,,,40.5,,,,северо-западный,2,,,3
