timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман ослабел (небо не видно),Туман без изменений (небо не видно),Морось (незамерзающая) слабая непрерывная
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,0,,,0,,,,10,740,,,,-1.7,51.4,,-2.2,,юго-западный,5.0,,,,4.0,,,
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,0,,,,,,,10,740,,,,2.5,39.8,,-2.2,,юго-западный,1.0,,,,3.0,,,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,12.0,,,,,,,,10,739,,,,7.3,25.3,,,,западный,2.0,,,,8.0,,,
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,12.0,,,,,,,,10,739,,,,9.2,26.2,,,,западный,1.0,,,,7.0,,,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,11.0,0,,,,,,,10,738,,,,9.2,26.2,,,,западный,0.0,,,,6.0,,,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,0,,,,,,,10,739,,,,5.8,29.9,,,,юго-западный,0.0,,,9.7,3.0,,,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,10,739,,,,4.0,34.7,,,,юго-западный,0.0,,,,3.0,,,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,10,739,,,,1.7,42.8,,,,юго-западный,0.0,,,,3.0,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,0,,,0,,,,10,739,,,,0.2,49.6,,0.2,,южный,0.0,,,,1.0,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,0,,,,,,,10,740,,,,3.6,39.5,,-0.8,,юго-западный,0.0,,,,4.0,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,12.0,,,,,,,,10,740,,,,12.3,19.0,,,,западный,0.0,,,,8.0,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,12.0,,,,,,,,10,739,,,,13.9,15.6,,,,юго-западный,0.0,,,,7.0,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,12.0,0,,,,,,,10,738,,,,13.7,14.2,,,,юго-западный,0.0,,,,7.0,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,10.0,0,,,,,,,10,739,,,,9.6,20.6,,,,юго-западный,0.0,,,14.4,4.0,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,10,740,,,,6.6,26.9,,,,юго-западный,0.0,,,,4.0,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,10,740,,,,5.2,32.4,,,,юго-западный,0.0,,,,5.0,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,0,,,0,,,,10,741,,,,3.4,37.6,,3.4,,юго-западный,0.0,,,,5.0,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,0,,,,,,,10,742,,,,5.3,32.7,,3.4,,юго-западный,1.0,,,,4.0,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,10,743,,,,11.9,28.3,,,,северо-западный,6.0,,,,5.0,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,12.0,,,,,,,,10,744,,,,11.9,24.3,,,,северо-западный,7.0,,,,7.0,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,12.0,0,,,,,,,10,744,,,,11.6,16.2,,,,северо-западный,2.0,,,,7.0,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,11.0,0,,,,,,,10,746,,,,5.4,23.2,,,,северо-западный,0.0,,,12.9,5.0,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,10,748,,,,2.3,32.5,,,,северный,0.0,,,,4.0,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,10,748,,,,1.4,36.7,,,,западный,0.0,,,,2.0,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,0,,,0,,,,10,749,,,,-1.0,45.8,,-1.0,,западный,0.0,,,,4.0,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,0,,,,,,,10,750,,,,6.3,41.0,,-1.2,,северо-западный,0.0,,,,4.0,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,12.0,,,,,,,,10,750,,,,8.6,31.7,,,,северо-западный,7.0,,,,7.0,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,15.0,,,,,,,,10,749,,,,10.3,23.8,,,,северо-западный,7.0,,,,9.0,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,15.0,0,,,,,,,10,749,,,,8.5,22.9,,,,северо-западный,2.0,,,,10.0,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,15.0,0,,,,,,,10,751,,,,4.6,29.0,,,,северо-западный,5.0,,,10.4,5.0,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,10,752,,,,1.0,47.9,,,,северо-западный,4.0,,,,5.0,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,10,753,,,,-1.6,61.6,,,,северо-западный,4.0,,,,4.0,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,0,,,0,,,,10,753,,,,-1.9,58.7,,-8.9,,северо-западный,0.0,,,,5.0,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,0,,,,,,,10,754,,,,3.7,38.3,,-2.1,,северо-западный,0.0,,,,5.0,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,14.0,,,,,,,,10,754,,,,8.7,22.4,,,,северо-западный,0.0,,,,7.0,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,14.0,,,,,,,,10,754,,,,11.0,14.3,,,,северо-западный,2.0,,,,9.0,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,16.0,0,,,,,,,10,754,,,,10.1,19.9,,,,северный,2.0,,,,8.0,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,12.0,0,,,,,,,10,754,,,,5.8,29.9,,,,северо-западный,9.0,,,11.3,3.0,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,10,754,,,,6.0,31.9,,,,северо-западный,9.0,,,,1.0,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,10,755,,,,5.3,29.7,,,,северный,9.0,,,,1.0,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,0,,,0,,,,10,755,,,,3.4,37.6,,3.4,,северо-восточный,4.0,,,,2.0,,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,0,,,,,,,10,757,,,,6.2,25.8,,2.1,,восточный,2.0,,,,2.0,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,10,757,,,,9.4,21.1,,,,северо-восточный,0.0,,,,4.0,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,10.0,,,,,,,,10,756,,,,11.3,19.5,,,,северо-западный,0.0,,,,4.0,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,0,,,,,,,10,755,,,,11.4,22.3,,,,северный,0.0,,,,5.0,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,0,,,,,,,10,755,,,,8.3,33.1,,,,южный,0.0,,,11.9,1.0,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,10,754,,,,6.4,38.6,,,,юго-западный,0.0,,,,3.0,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,10,753,,,,5.9,39.9,,,,юго-западный,0.0,,,,5.0,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,0,,,0,,,,10,751,,,,3.8,40.2,,3.8,,юго-западный,0.0,,,,5.0,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,11.0,0,,,,,,,10,749,,,,9.2,28.6,,3.4,,юго-западный,0.0,,,,7.0,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,16.0,,,,,,,,10,747,,,,15.9,22.7,,,,западный,0.0,,,,10.0,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,17.0,,,,,,,,10,744,,,,18.9,17.0,,,,западный,6.0,,,,10.0,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,18.0,0,,,,,,,10,743,,,,16.3,21.3,,,,северо-западный,0.0,,,,10.0,,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,17.0,0,,,,,,,10,745,,,,9.0,40.8,,,,северо-западный,0.0,,,19.4,5.0,,,
