timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Пыльная (песчаная) буря, слабая или умеренная, ослабела","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,,,,,,,10,749,,,-6.2,,64.0,-9.1,,юго-западный,2.0,,,2
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,,10,750,,,3.7,,32.7,,,западный,0.0,,,6
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,11.0,,,,,,,,,10,749,,,7.1,,23.1,,,западный,0.0,,,6
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,12.0,,,,,,,,,10,748,,,9.2,,20.3,,,западный,0.0,,,6
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,10.0,,,,,,,,,10,748,,,7.7,,25.2,,,юго-западный,0.0,,9.8,4
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,10.0,,,,,,,,,10,749,,,1.3,,41.7,,,южный,2.0,,,4
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,,,10,749,,,1.2,,36.4,,,южный,0.0,,,3
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,,10,749,,,-0.5,,41.1,,,южный,0.0,,,3
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,10,749,,,-1.1,,51.2,-2.6,,юго-западный,0.0,,,2
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,10,750,,,7.7,,25.8,,,юго-западный,0.0,,,4
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,10,749,,,11.3,,21.7,,,южный,0.0,,,2
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,10,748,,,12.2,,20.7,,,юго-западный,0.0,,,3
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,10,748,,,10.7,,25.7,,,юго-восточный,0.0,,13.2,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,10,749,,,3.9,,37.5,,,южный,0.0,,,4
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,10,749,,,3.3,,37.9,,,южный,0.0,,,4
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,10,750,,,1.5,,47.3,,,западный,0.0,,,3
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,10,751,,,-0.4,,85.7,-1.2,,западный,0.0,,,3
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,10,751,,,9.1,,45.0,,,западный,0.0,,,4
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,10,751,,,13.6,,29.0,,,юго-западный,0.0,,,4
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,10,751,,,14.6,,30.6,,,западный,0.0,,,5
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,10,751,,,12.8,,32.2,,,юго-западный,0.0,,15.5,5
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,10.0,,,,,,,,,10,751,,,7.0,,57.6,,,юго-западный,0.0,,,4
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,10,751,,,5.5,,63.4,,,юго-западный,5.0,,,2
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,10,751,,,5.6,,64.3,,,юго-западный,7.0,,,6
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,10,751,,,3.4,,73.4,3.2,,западный,9.0,,,4
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,10,752,,,11.2,,38.3,2.7,,северный,7.0,,,6
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,12.0,,,,,,,,,10,752,,,12.8,,26.9,,,северо-западный,5.0,,,7
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,13.0,,,,,,,,,10,751,,,12.4,,20.1,,,северо-западный,7.0,,,8
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,13.0,,,,,,,,,10,751,,,9.9,,23.7,,,северо-западный,6.0,,13.9,7
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,13.0,,,,,,,,,10,752,,,2.8,,41.5,,,северо-западный,0.0,,,4
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,10,752,,,-0.1,,54.4,,,северо-западный,4.0,,,5
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,10,752,,,0.1,,72.2,,,северо-западный,2.0,,,6
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,12.0,,,,,,,,,10,752,,,1.2,,69.8,-0.9,,северо-западный,9.0,,,9
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,17.0,,,,,True,,,,10,753,,,3.7,,42.7,,,северный,2.0,,,12
