timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Мгла,Дождь (незамерзающий) слабый с перерывами,Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,,,,,,10,764,,,,,4.7,,43.7,4.7,,,северный,10.0,,,3
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,6.3,,33.8,,,,северо-восточный,10.0,,,3
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,,,,,,,,True,,,,,10,765,,,,,6.7,,44.3,,,,северо-западный,10.0,,,2
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,,,True,,,,,,,,,,4,765,,,,,5.7,,64.4,,,,северный,10.0,,,2
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,,,True,0.8,,,,,,,,,10,766,,,,,4.3,,75.2,,,,северный,10.0,,7.3,1
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,,,True,,,,,,,,,,4,766,,,,,3.7,,85.5,,,,северный,10.0,,,1
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,True,,,,,,,,,,10,766,,,,,3.6,,83.1,,,,северо-восточный,10.0,,,1
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,3.4,,79.5,,,True,северный,10.0,,,2
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,1,,2,,,,,,,10,766,,,,,3.6,,77.3,3.2,,,северный,10.0,,,2
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,4.9,,66.6,,,,северо-восточный,10.0,,,3
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,8.2,,52.3,,,,северо-западный,4.0,,,2
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,11.4,,40.6,,,,северо-западный,0.0,,,1
