timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Туман ослабел (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,758,,,0.1,,93.0,,0.0,,северо-восточный,1.0,,,2
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,758,,,7.0,,73.0,,,,северо-восточный,0.0,,,5
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,758,,,12.2,,52.2,,,,восточный,0.0,,,4
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,757,,,15.1,,44.8,,,,северо-восточный,0.0,,,3
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,757,,,14.9,,45.7,,,,северо-восточный,0.0,,15.9,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,758,,,9.5,,62.1,,,,северный,0.0,,,3
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,759,,,6.3,,72.9,,,,северный,5.0,,,2
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,760,,,4.8,,81.5,,,,западный,7.0,,,1
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,762,,,2.0,,92.4,,1.9,,северо-западный,9.0,,,1
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,763,,,10.5,,60.6,,1.1,,западный,0.0,,,2
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,763,,,16.2,,41.8,,,,северный,0.0,,,2
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,762,,,19.0,,35.0,,,,западный,2.0,,,4
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,763,,,15.6,,51.7,,,,юго-западный,6.0,,19.7,6
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,765,,,10.5,,56.0,,,,западный,0.0,,,1
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,765,,,8.0,,61.3,,,,северо-западный,0.0,,,2
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,765,,,7.0,,61.5,,,,западный,0.0,,,1
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,765,,,5.3,,87.5,,4.8,,,7.0,,,0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,766,,,9.3,,65.2,,,,северный,10.0,,,1
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,765,,,13.6,,36.0,,,,северный,10.0,,,1
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,764,,,16.4,,31.2,,,,северный,10.0,,,5
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,764,,,15.2,,30.4,,,,северный,10.0,,17.1,4
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,765,,,9.1,,37.1,,,,северный,9.0,,,3
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,766,,,6.7,,36.1,,,,северо-восточный,1.0,,,4
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,767,,,3.2,,48.2,,,,северо-восточный,0.0,,,2
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,768,,,1.6,,54.0,,1.4,,северный,0.0,,,4
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,12.0,,,,,,,,,,,10,770,,,7.2,,35.7,,,,северо-восточный,0.0,,,8
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,10,770,,,11.2,,24.2,,,,северо-восточный,0.0,,,7
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,771,,,12.5,,21.7,,,,северный,0.0,,,5
