timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Количество облаков уменьшилось,Мгла,Дождь (незамерзающий) слабый с перерывами,"Пыльная (песчаная) буря, слабая или умеренная",Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Пыльная (песчаная) буря, слабая или умеренная началась (усилилась)",Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,95.1,-0.1,юго-восточный,,,3.0,,,0,,0,,True,,,2.0,721,,,0.5,,,10.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,95.1,,юго-восточный,,,5.0,,,,,,,True,,,2.0,721,,,1.1,,,10.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,72.2,,юго-восточный,,,5.0,,,,,,,,,,20.0,721,,,5.3,,,9.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,61.3,,юго-восточный,,,5.0,,,,,,,,,,20.0,721,,,8.1,,,2.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,74.7,,южный,,8.6,6.0,,,0,,,,,,,20.0,721,,,4.7,,,2.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,94.4,,южный,,,6.0,,,,,,,,,,20.0,722,,,1.2,,,2.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,95.8,,южный,,,4.0,,,,,,,,,,10.0,722,,,0.6,,,0.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,95.1,,южный,,,3.0,,,,,,,,,,10.0,722,,,1.3,,,4.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,88.6,0.0,северо-западный,,,1.0,,,0,,0,,,,,20.0,724,,,2.8,,,6.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,73.0,,южный,,,1.0,,,,,,,,,,20.0,725,,,6.9,,,9.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,32.6,,западный,,,5.0,,,,,,,,,,20.0,725,,,14.0,,,7.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,34.5,,северо-западный,,,4.0,,,,,,,,,,20.0,725,,,14.6,,,7.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,33.9,,западный,,15.7,2.0,,,0,,,,,,,20.0,726,,,14.5,,,2.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,44.3,,северо-западный,,,2.0,,,,,,,,,,20.0,727,,,10.1,,,4.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,48.3,,северо-западный,,,2.0,,,,,,,,,,20.0,727,,,8.5,,,4.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,48.6,,северо-западный,,,2.0,,,,,,,,,,20.0,727,,,8.5,,,9.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,48.1,6.6,северо-западный,,,3.0,,,0,,0,,,,,20.0,727,,,7.7,,,10.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,30.2,,северо-западный,,,3.0,,,,,,,,,,20.0,727,,,9.4,,,10.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,29.0,,северо-западный,,,3.0,,,,,,,,,,20.0,727,,,11.5,,,10.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,27.5,,северный,,,4.0,,,,,,,,,,20.0,727,,,12.8,,,10.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,33.9,,северный,,13.5,3.0,,,0,,,,,,,20.0,727,,,11.0,,,7.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,37.9,,северный,,,2.0,,,,,,,,,,20.0,727,,,9.1,,,9.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,29.7,,северный,,,6.0,,,,,,,,,,20.0,727,,,6.0,,,10.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,35.7,,северный,,,2.0,,,,,,,,,,20.0,728,,,2.9,,,6.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,37.4,2.8,северный,,,5.0,,,0,,0,,,,,20.0,729,,,2.8,,,9.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,11.0,,,,,,,,,36.4,1.6,северный,,,6.0,,,,,,,,,,20.0,731,,,3.3,,,2.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,13.0,,,,,,,,,24.0,,северо-западный,,,5.0,,,,,,,,,,20.0,731,,,6.3,,,0.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,11.0,,,,,,,,,21.7,,северо-западный,,,6.0,,,,,,,,,,20.0,732,,,8.0,,,0.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,11.0,,,,,,,,,20.8,,северо-западный,,8.3,6.0,,,0,,,,,,,20.0,733,,,6.7,,,0.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,28.5,,западный,,,4.0,,,,,,,,,,20.0,734,,,3.5,,,0.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,28.1,,западный,,,2.0,,,,,,,,,,20.0,734,,,2.2,,,0.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,27.6,,западный,,,3.0,,,,,,,,,,20.0,733,,,1.4,,,0.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,25.2,0.4,северо-западный,,,2.0,,,0,,0,,,,,20.0,733,,,2.2,,,0.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,16.5,,северный,,,4.0,,,,,,,,,,20.0,733,,,7.3,,,0.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,21.2,,северный,,,4.0,,,,,,,,,,20.0,733,,,8.1,,,0.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,10.0,,,,,,,,,21.2,,северо-восточный,,,4.0,,,,,,,,,,20.0,733,,,8.1,,,0.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,15.0,,,,,,,,,22.4,,северо-восточный,,8.8,5.0,,,0,,,,,,,20.0,733,,,5.4,,,0.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,30.6,,северо-восточный,,,4.0,,,,,,,,,,20.0,734,,,0.2,,,0.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,38.8,,восточный,,,4.0,,,,,,,,,,20.0,734,,,-3.6,,,0.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,35.9,,юго-восточный,,,3.0,,,,,,,,,,20.0,734,,,-3.2,,,0.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,41.3,-4.6,юго-восточный,,,4.0,,,0,,0,,,,,20.0,733,,,-4.3,,,0.0
