timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Мгла,Дождь (незамерзающий) умеренный с перерывами,"Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Снег слабый непрерывный,Град,"Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,0,,,,0,,,,,20.0,,755,,,-2.7,55.4,,,-4.1,,,,1.0,,,0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,756,,,7.4,27.6,,,,,,северо-восточный,7.0,,,3
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,755,,,10.0,17.6,,,,,,восточный,9.0,,,3
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,,20.0,,754,,,9.6,21.8,,,,,,восточный,10.0,,,5
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,11.0,True,0.4,,,,,,,,,10.0,,753,,,4.9,69.0,,,,,,северо-восточный,10.0,,10.7,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,True,,,,,,,,,,10.0,,752,,,4.2,78.0,,,,,,северо-восточный,10.0,,,5
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,10.0,True,,,,,,,,,,10.0,,750,,,4.0,83.1,,,,,,северо-восточный,10.0,,,6
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,True,,,,,,,,,,10.0,,748,,,3.4,92.5,,,,,,северный,10.0,,,5
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,11,0.0,,,12,,,,,10.0,,748,,,3.3,90.5,,,3.2,True,,северный,10.0,,,6
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,True,,,,,,,,,,10.0,,749,,,4.3,93.2,,,,,,северо-восточный,10.0,,,4
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,6.1,87.0,,,,True,,северный,10.0,,,3
1586001600,"Суббота, 4 апреля
12:00 (UTC)",True,,,,,,,,,,,,,,20.0,,750,,,5.8,89.4,,,,,,северный,10.0,,,4
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,20.0,,751,,,6.0,84.6,,,,,,северный,9.0,,6.5,3
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,1.6,93.1,,,,,,западный,0.0,,,3
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,1.1,93.0,,,,,,юго-западный,0.0,,,3
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,0.1,94.3,,,,,,юго-западный,0.0,,,1
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,0,0.0,,,менее 0.1,,,,,20.0,,752,,,0.7,91.7,,,-1.0,,,юго-восточный,0.0,,,1
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10.0,,752,,,9.4,59.4,,,,,,юго-западный,0.0,,,3
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,751,,,15.0,29.4,,,,,,юго-западный,7.0,,,8
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,749,,,15.0,30.1,,,,,,юго-западный,9.0,,,8
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,14.0,,0,,,,,,,,,20.0,,749,,,9.4,61.2,,,,,,западный,10.0,,16.1,2
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,5.9,75.5,,,,,,западный,7.0,,,3
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,3.3,86.7,,,,,,западный,10.0,,,3
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,2.5,90.5,,,,,,западный,10.0,,,3
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,0,0.0,,,0,,,,,10.0,,749,,,-0.1,94.3,,,-0.8,,,западный,2.0,,,1
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,6.5,52.6,,,,,,северо-западный,7.0,,,3
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,7.5,33.6,,,,,,северный,10.0,,,5
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,747,,,7.2,26.5,,,,,,северный,9.0,,,6
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,12.0,,0,,,,,,,,,20.0,,748,,,4.5,27.9,,,,,,северный,2.0,,8.3,5
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,-0.3,57.4,,,,,,северо-западный,0.0,,,3
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,-1.9,62.0,,,,,,северо-западный,0.0,,,3
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,-2.3,55.9,,,,,,северо-западный,0.0,,,5
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,10.0,,0,0.0,,,0,,,,,20.0,,749,,,-1.8,57.0,,,-2.4,,,северо-западный,6.0,,,5
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,751,,,4.6,27.4,,,,,,северный,9.0,,,9
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,18.0,,,,,,,,,,,20.0,,752,,,5.9,21.8,,,,,,северный,2.0,,,11
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,,,20.0,,754,,,6.2,16.2,,,,,,северо-западный,2.0,,,9
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,16.0,,0,,,,,,,,,20.0,,755,,,3.7,19.7,,,,,,северо-западный,2.0,,6.7,6
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,756,,,1.4,32.3,,,,,,северо-западный,1.0,,,6
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,755,,,-2.8,51.9,,,,,,западный,1.0,,,5
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,755,,,-4.6,61.4,,,,,,западный,1.0,,,4
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,0,0.0,,,0,,,,,20.0,,755,,,-3.0,59.9,,,-4.7,,,западный,2.0,,,5
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,754,,,3.4,32.6,,,,,,западный,7.0,,,6
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,753,,,5.5,20.2,,,,,,северо-западный,7.0,,,6
