timestamp,date,Ливневой снег умеренный или сильный,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Туман начался (усилился). Небо видно,Туман ослабел (небо видно),Ливневый дождь,Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",В окрестности станции местами туман,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,Туман без изменений (небо видно),Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой дождь со снегом умеренный или сильный,Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,10,743,,,6.2,,62.2,2.7,,,восточный,,9,,,,2.0,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,10,743,,,11.3,,47.0,,,,,,6,,,,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,10,743,,,12.6,,56.2,,,,северо-восточный,,9,,,,2.0,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,10,743,,,10.6,,64.1,,,,,,0,,,,0.0,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,10,744,,,5.0,,83.3,,,,западный,,0,,,16.1,2.0,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,10,745,,,3.5,,89.9,,,,западный,,0,,,,3.0,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,10,746,,,3.3,,93.8,,,,западный,,0,,,,2.0,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,9,747,,,2.7,,99.3,,,,,,9,,,,0.0,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,10,747,,,5.8,,73.9,2.3,,,северо-восточный,,1,,,,1.0,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,10,747,,,7.6,,62.1,,,,северо-восточный,,2,,,,3.0,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,10,746,,,7.8,,62.1,,,,северо-восточный,,1,,,,3.0,,,
