timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,20,717,,,0.0,,56.6,,,,северо-восточный,2,,,1.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,50,716,,,5.8,,32.6,,,,восточный,5,,,1.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,50,716,,,8.2,,39.1,,,,восточный,7,,,2.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,0,,,,,,50,715,,,3.7,,57.1,,,,северо-восточный,6,,8.5,2.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,10,715,,,-0.5,,73.2,,,,восточный,2,,,2.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,10,716,,,-3.0,,83.5,,,,северо-восточный,2,,,1.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,10,717,,,-3.7,,85.3,,,,северо-восточный,9,,,1.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,50,717,,,-4.0,,80.2,-4.2,,,северо-восточный,9,,,1.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,50,718,,,1.9,,60.6,,,,восточный,4,,,2.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,50,717,,,8.3,,41.9,,,,,7,,,0.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,50,714,,,10.6,,35.6,,,,восточный,6,,,2.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,0,,,,,,50,714,,,6.1,,51.7,,,,северо-восточный,2,,11.1,2.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,10,714,,,0.8,,75.1,,,,северный,0,,,1.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,10,713,,,-0.7,,83.2,,,,,7,,,0.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,10,712,,,0.0,,80.2,,,,западный,10,,,2.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,50,712,,,2.6,,77.1,-1.5,,,юго-восточный,9,,,1.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,50,712,,,3.5,,66.7,,,,восточный,9,,,2.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,10,712,True,,2.7,,91.1,,,,северо-восточный,10,,,1.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,True,10,711,,,3.7,,91.9,,,,юго-западный,10,,,2.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,3,,,,,True,20,711,,,2.2,,91.1,,,,северо-восточный,10,,4.8,1.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,10,711,,,1.0,,94.4,,,True,восточный,9,,,1.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,True,10,710,,,0.8,,97.9,,,,,10,,,0.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,10,709,,,1.3,,91.7,,,True,юго-западный,10,,,2.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,0.4,,0.0,,4,,50,710,,,1.4,,92.4,0.6,,True,,9,,,0.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,10,711,,,3.2,,91.2,,,,восточный,10,,,2.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,20,711,,,5.9,,72.8,,,,восточный,6,,,3.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,50,710,,,7.4,,60.7,,,,восточный,4,,,3.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,0,,,,,,50,711,,,6.1,,64.4,,,,восточный,0,,8.0,2.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,10,711,,,1.0,,88.4,,,,,0,,,0.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,10,711,,,-2.0,,88.8,,,,,4,,,0.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,10,711,,,-3.2,,90.7,,,,,6,,,0.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,50,712,,,-2.1,,95.7,-3.5,,,северо-восточный,9,,,1.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,50,712,,,2.7,,78.9,,,,восточный,7,,,2.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,50,712,,,8.4,,60.9,,,,северо-восточный,7,,,2.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,True,,,50,711,,,9.0,,54.4,,,,восточный,7,,,2.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,0.3,,,,,,50,710,,,8.0,,52.6,,,True,восточный,2,,10.0,1.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,10,711,,,3.4,,72.9,,,,северный,0,,,2.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,10,711,,,0.1,,88.3,,,,северо-восточный,0,,,1.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,10,711,,,-1.6,,88.8,,,,северо-восточный,0,,,1.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,0,,0.0,,0.3,,50,711,,,-1.5,,94.3,-1.6,,,восточный,0,,,1.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,50,711,,,6.8,,61.0,-1.7,,,восточный,0,,,1.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,50,711,,,12.1,,46.2,,,,северный,2,,,1.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,50,710,,,,,,,,,северо-западный,0,,,1.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,0,,,,,,50,710,,,10.6,,51.4,,,,восточный,7,,16.5,1.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,10,711,,,5.3,,70.6,,,,северо-восточный,2,,,1.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,10,712,,,1.8,,81.7,,,,северо-восточный,5,,,2.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,10,712,,,1.7,,76.4,,,,северо-западный,9,,,1.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,50,712,,,-0.6,,85.7,-1.4,,,,9,,,0.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,50,713,,,10.5,,32.0,,,,восточный,6,,,3.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,11.0,,,,,,,,50,711,,,13.8,,22.6,,,,восточный,7,,,4.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,50,710,,,16.0,,21.3,,,,восточный,9,,,2.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,0,,,,,,50,710,,,13.8,,29.1,,,,северо-восточный,7,,17.2,1.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,10,711,,,6.3,,44.9,,,,,7,,,0.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,10,712,,,3.6,,66.8,,,,северо-восточный,6,,,1.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,10,712,,,-0.8,,81.3,,,,,6,,,0.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,50,713,,,0.6,,86.4,-1.8,,,северный,7,,,1.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,50,713,,,9.1,,41.2,,,,северный,9,,,3.0
