timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,0,,,0,,,,10,741,,,0.2,,95.0,-1.0,,юго-восточный,0,,,1
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,20,741,,,8.3,,68.3,,,северо-восточный,0,,,2
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,20,741,,,13.1,,46.8,,,северо-восточный,0,,,4
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,20,740,,,15.7,,39.6,,,северо-восточный,0,,,3
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,0,,,,,,,20,740,,,14.8,,39.6,,,северо-восточный,1,,16.1,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,20,742,,,9.9,,59.6,,,восточный,6,,,2
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,20,742,,,7.3,,75.2,,,южный,9,,,1
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,20,743,,,7.8,,73.2,,,южный,9,,,1
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,0,,,0,,,,20,745,,,7.9,,74.2,5.8,,южный,9,,,1
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,20,746,,,10.8,,61.5,,,юго-западный,10,,,1
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,20,746,,,15.4,,37.8,,,северо-западный,2,,,1
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,20,746,,,17.8,,32.5,,,северный,2,,,3
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,0,,,,,,,20,747,,,15.9,,41.1,,,северо-западный,9,,18.1,2
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,20,748,,,13.6,,53.7,,,западный,10,,,1
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,20,748,,,9.0,,67.0,,,,9,,,0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,20,749,,,6.8,,75.6,,,южный,9,,,1
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,0,,,0,,,,20,748,,,6.2,,82.8,6.2,,южный,10,,,1
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,20,749,,,9.1,,68.9,6.2,,северо-западный,10,,,1
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,20,749,,,12.5,,39.2,,,северный,10,,,1
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,20,748,,,14.5,,29.5,,,северный,10,,,4
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,0,,,,,,,20,747,,,13.7,,35.0,,,северный,10,,14.9,3
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,20,748,,,9.3,,52.6,,,северо-восточный,10,,,1
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,20,749,,,9.2,,30.2,,,северо-восточный,10,,,3
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,20,750,,,7.2,,34.6,,,северо-восточный,10,,,2
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,0,,,0,,,,20,751,,,2.5,,55.1,2.1,,северо-восточный,9,,,1
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,20,752,,,8.1,,33.0,1.6,,северо-восточный,0,,,5
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,11.0,,,,,,,,20,753,,,10.1,,28.9,,,северо-восточный,0,,,5
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,11.0,,,,,,,,20,753,,,11.3,,22.6,,,северный,0,,,5
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,0,,,,,,,20,754,,,9.8,,20.7,,,северный,0,,11.9,5
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,20,755,,,5.6,,29.6,,,восточный,0,,,1
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,20,755,,,3.6,,34.8,,,восточный,0,,,3
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,20,754,,,3.3,,32.3,,,восточный,0,,,3
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,0,,,0,,,,20,754,,,3.4,,29.9,1.8,,восточный,0,,,2
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,20,754,,,10.3,,17.7,,,восточный,0,,,5
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,10.0,,,,,,,,20,754,,,12.7,,20.0,,,северо-восточный,0,,,6
