timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,0,,,0.9,,,True,,2.0,711.0,,,,1.4,,98.6,1.4,,юго-восточный,10.0,,,1.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,True,,4.0,711.0,,,,3.0,,91.2,1.4,,восточный,10.0,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,711.0,,,,4.7,,85.6,,,восточный,9.0,,,3.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,711.0,,,,6.3,,80.5,,,восточный,10.0,,,3.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,0,,,,,,,,10.0,711.0,,,,5.3,,88.8,,,восточный,10.0,,6.9,2.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,4.1,,93.2,,,восточный,10.0,,,2.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,3.6,,95.9,,,восточный,10.0,,,1.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,2.2,,98.6,,,,7.0,,,0.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,0,,,0,,,,,10.0,714.0,,,,2.4,,93.8,2.2,,,7.0,,,0.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,716.0,,,,12.6,,47.4,2.1,,,7.0,,,0.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,716.0,,,,13.8,,45.7,,,северный,10.0,,,3.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,716.0,,,,15.0,,39.7,,,северо-западный,10.0,,,2.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,717.0,,,,13.8,,44.4,,,северный,9.0,,15.8,2.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,718.0,,,,11.4,,60.4,,,южный,9.0,,,1.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,718.0,,,,7.2,,73.6,,,северо-западный,7.0,,,1.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,717.0,,,,6.0,,76.6,,,южный,9.0,,,1.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,0,,,0,,,,,10.0,718.0,,,,7.0,,75.7,5.2,,,10.0,,,0.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,718.0,,,,8.5,,63.2,,,северный,10.0,,,2.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,718.0,,,,11.1,,48.0,,,северный,10.0,,,3.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,717.0,,,,12.7,,41.9,,,северный,10.0,,,2.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,0,,,,,,,,10.0,717.0,,,,11.2,,47.7,,,северный,10.0,,12.9,3.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,718.0,,,,8.9,,50.6,,,северо-западный,10.0,,,2.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,718.0,,,,7.9,,58.2,,,северо-западный,10.0,,,1.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,718.0,,,,6.0,,36.7,,,северный,10.0,,,1.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,0,,,0,,,,,10.0,719.0,,,,4.3,,52.3,4.3,,северо-западный,10.0,,,1.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,721.0,,,,6.5,,38.3,4.2,,северный,10.0,,,3.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,721.0,,,,10.0,,27.7,,,южный,2.0,,,1.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,722.0,,,,9.3,,30.7,,,северо-западный,2.0,,,6.0
