timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман ослабел (небо не видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,0,,,5,,,True,1.0,724,,,0.3,,97.9,0.2,,северо-восточный,,,,1,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,True,1.0,724,,,1.4,,97.9,,,восточный,,,,1,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,1.0,724,True,,2.2,,97.9,,,восточный,,,,3,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,724,,,3.9,,88.0,,True,северо-восточный,10.0,,,2,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,0,,,,,,,10.0,724,,,4.6,,81.4,,,восточный,10.0,,4.6,2,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,725,,,4.5,,84.4,,,восточный,10.0,,,1,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,725,,,4.3,,83.8,,,восточный,10.0,,,1,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,726,,,4.1,,83.8,,,восточный,10.0,,,1,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,0,,,0,,,,10.0,727,,,3.6,,84.9,3.5,,,10.0,,,0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,728,,,6.1,,77.1,,,северо-западный,7.0,,,1,
