timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) умеренный с перерывами,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,,,92.9,,-0.9,западный,,,1,,,,17,1.0,17,,,,,2.0,700,,,-0.8,,,10.0,True
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,92.9,,-1.3,северо-западный,,,2,,True,,,,,,,,,2.0,701,,,-1.0,,,10.0,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,,,,,,81.2,,,,,,0,,,,,,,,,,,4.0,700,,,2.5,,,10.0,True
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,,,,,,76.1,,,восточный,,,2,,,,,,,,,,,10.0,700,,,3.0,,True,10.0,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,,,,,,75.1,,,западный,,4.4,1,,,,2,,,,,,,10.0,700,,,3.7,,,10.0,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,,,,,,85.3,,,,,,0,,,,,,,,,,,10.0,700,,,1.8,,,5.0,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,91.0,,,,,,0,,,,,,,,,,,10.0,700,,,0.2,,,10.0,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,90.9,,,южный,,,1,,,,,,,,,,,10.0,699,,,-0.3,,,4.0,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,92.2,,-1.2,,,,0,,,,0,,2,,True,,,4.0,699,,,-0.7,,,10.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,91.0,,,северо-западный,,,1,,,,,,,,,True,,1.0,699,,,1.3,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,82.5,,,северо-западный,,,2,,,,,,,,,,,4.0,699,,,3.5,,True,10.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,82.5,,,западный,,,2,,,,,,,,True,,,4.0,699,,,3.9,,,10.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,84.9,,,западный,,5.6,1,,,,0,,,,True,,,4.0,699,,,3.4,,,10.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,89.2,,,западный,,,1,,,,,,,,True,,,4.0,700,,,2.9,,,10.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,89.9,,,,,,0,,,,,,,,True,,,4.0,701,,,3.3,,,10.0,
