timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь очень сильный,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Дождь (незамерзающий) слабый с перерывами,"Дождь замерзающий, образующий гололёд, слабый","Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,0,,,6,,,,,,,10.0,,703.0,,,-2.0,,95.7,-4.0,True,,0.0,,,0.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,True,,,0.0,,703.0,,,1.4,,96.5,,,западный,,,,1.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,5.8,,85.8,,True,северный,7.0,,,1.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,5.2,,84.5,,,восточный,10.0,,,2.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,10.0,,703.0,,,3.8,,86.8,,,восточный,10.0,,7.0,2.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,3.6,,86.8,,,северный,10.0,,,1.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,2.1,,94.4,,,,10.0,,,0.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,2.1,,89.1,,,,10.0,,,0.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,0,,,0,,,True,,,,4.0,,706.0,,,3.2,,89.9,0.5,,,10.0,,,0.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,True,,,,,,10.0,,707.0,,,5.6,,81.6,,,северный,7.0,,,1.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,10.5,,58.0,,,северо-западный,7.0,,,2.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,12.2,,53.0,,,западный,7.0,,,2.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,10.0,,707.0,,,10.4,,74.7,,,восточный,6.0,,12.2,2.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,5.0,,76.4,,,южный,9.0,,,2.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,6.0,,80.5,,,северо-западный,10.0,,,2.0
