timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,0,,,7,,,,True,,1,739,,,,0.6,100.0,0.4,,восточный,,,,1.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,True,,1,739,,,,1.6,99.3,,,восточный,,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,4.4,91.9,,True,восточный,10.0,,,2.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,6.0,90.7,,True,восточный,10.0,,,2.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,738,,,,6.9,87.1,,,восточный,10.0,,7.1,2.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,True,,,4,739,,,,6.2,91.4,,,восточный,10.0,,,1.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,True,,,4,740,,,,5.5,95.9,,,,10.0,,,0.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,1,740,,True,,5.1,99.3,,,юго-восточный,,,,1.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,True,,1,742,,,,5.0,100.0,4.9,,восточный,,,,1.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,True,,,,,,,,,,,4,743,,,,6.1,98.0,,,северный,10.0,,,1.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,,9.6,76.6,,,южный,10.0,,,1.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,,11.9,68.1,,,восточный,7.0,,,2.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,743,,,,10.2,76.2,,,восточный,5.0,,12.2,2.0
