timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Пыльная или песчаная буря (сильная) началась (усилилась),"Осадки за 12 часов, мм",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Гроза сильная (возможен град),"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый",Туман начался (усилился). Небо не видно,"Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,0,,9,True,,,4.0,765.0,,,,,3.9,,,84.9,3.2,,,10.0,,,0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,20.0,765.0,,,,,5.5,,,82.7,,,,10.0,,,0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,True,,,4.0,765.0,,,,,7.9,,,83.6,,,,10.0,,,0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,True,,,4.0,764.0,,,,,8.8,,,79.8,,,восточный,9.0,,,1
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,0,,,True,,,4.0,764.0,,,,,8.0,,,80.8,,,восточный,10.0,,8.9,1
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,True,,,4.0,765.0,,,,,8.0,,,80.2,,,северный,10.0,,,2
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,True,,,4.0,765.0,,,,,8.1,,,83.1,,,северный,9.0,,,2
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,True,,,4.0,766.0,,,,,8.0,,,84.8,,,северный,10.0,,,2
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,0,,0,True,,,4.0,767.0,,,,,8.1,,,84.8,8.0,,юго-восточный,10.0,,,2
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,4.0,769.0,,,,,8.1,,,80.2,,,северный,10.0,,,1
