timestamp,date,Морось (незамерзающая) умеренная непрерывная,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Туман ослабел (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,10.7,,24.9,,,,юго-восточный,2.0,,,,3.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,726.0,,,,16.2,,15.9,,,,юго-восточный,2.0,,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,725.0,,,,15.1,,19.4,,,,южный,2.0,,,,2.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,726.0,,,,8.1,,31.8,,,,южный,2.0,,,17.6,3.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,2.4,,56.8,,,,юго-восточный,0.0,,,,3.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,0.1,,69.0,,,,юго-восточный,0.0,,,,3.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,-0.8,,71.5,,,,юго-восточный,0.0,,,,3.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,,,,50.0,727.0,,,,0.3,,64.5,-1.0,,,юго-восточный,7.0,,,,2.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,8.8,,37.3,,,,,10.0,,,,0.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,14.4,,22.3,,,,северный,7.0,,,,2.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,726.0,,,,16.8,,22.2,,,,северный,6.0,,,,2.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,12.0,,0,,,,,,,,,50.0,728.0,,,,9.6,,49.3,,,,северо-западный,6.0,,,17.2,3.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,11.0,,,,,,,,,,,,731.0,,,,6.8,,51.1,,,,северо-западный,10.0,,,,3.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,10.0,,,,,,,,True,,,,732.0,,,,2.3,,84.8,,,,западный,10.0,,,,2.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,True,,,,,,,732.0,,,,2.3,,84.8,,,,западный,10.0,,,,2.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,1,,0.0,,1,,,,,50.0,733.0,,,,2.3,,73.2,1.7,True,,северный,10.0,,,,1.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,734.0,,,,4.4,,58.6,,,,юго-западный,10.0,,,,1.0
