timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,Мгла,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,Зарница,Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Морось (незамерзающая) сильная непрерывная,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,12.0,,,,,,,,,,29.6,,,,западный,,,8,,,,,,,,,,,,,20,745,,,,11.2,,,,,,,2.0,
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,14.0,,,,,,,,,,38.8,,,,западный,,,5,,,,,,,,,,,,,50,746,,,,7.2,,,,,,,5.0,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,15.0,,,,,,,,,,41.6,,,,северо-западный,,11.4,4,,,,,0,,,,,,,,50,749,,,,3.3,,,,,,,4.0,
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,13.0,,,,,,,,,,32.0,,,,западный,,,3,,,,,,,,,,,,,50,750,,,,1.3,,,,,,,0.0,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,11.0,,,,,,,,,,34.6,,,,западный,,,3,,,,,,,,,,,,,50,751,,,,0.1,,,,,,,0.0,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,,,,,,,,,,34.8,,,,западный,,,3,,,,,,,,,,,,,50,750,,,,-1.1,,,,,,,0.0,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,,,52.3,,,-5.0,юго-западный,,,3,,,,,0,,,,,0,,,50,750,,,,-4.6,,,,,,,0.0,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,,22.4,,,,северо-западный,,,3,,,,,,,,,,,,,50,750,,,,2.1,,,,,,,0.0,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,18.2,,,,западный,,,1,,,,,,,,,,,,,50,750,,,,3.5,,,,,,,10.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,73.2,,,,юго-западный,,,4,,,,,,,,,,,,,10,750,,,,-0.4,,,True,,,,10.0,
