timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,58.9,,-1.4,северо-восточный,,,5.0,,,0,,,0,,,,10,744,,,-1.3,,,0.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,11.0,,,,,,,,45.0,,-1.4,восточный,,,8.0,,,0,,,,,,,10,744,,,8.0,,,0.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,11.0,,,,,,,,28.1,,,восточный,,,2.0,,,,,,,,,,10,744,,,13.3,,,0.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11.0,,,,,,,,29.0,,,западный,,,7.0,,,,,,,,,,10,745,,,12.9,,,0.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,11.0,,,,,,,,50.2,,,западный,,,6.0,,,0,,,,,,,10,745,,,10.0,,,0.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,78.9,,,южный,,15.0,3.0,,,0,,,,,,,10,746,,,3.3,,,0.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,81.8,,,южный,,,3.0,,,,,,,,,,10,747,,,2.8,,,0.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,84.8,,,южный,,,2.0,,,,,,,,,,10,748,,,2.5,,,0.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,82.2,,1.4,юго-восточный,,,2.0,,,0,,,0,,,,10,749,,,1.6,,,0.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,43.1,,1.2,восточный,,,3.0,,,0,,,,,,,10,749,,,9.1,,,1.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,25.0,,,северо-восточный,,,4.0,,,,,,,,,,10,750,,,14.5,,,10.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,23.1,,,северный,,,4.0,,,,,,,,,,10,750,,,16.8,,,10.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,38.1,,,западный,,,5.0,,,0,,,,,,,10,750,,,11.5,,,10.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,62.9,,,южный,,17.3,3.0,,,0,,,,,,,10,751,,,7.3,,,10.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,61.9,,,восточный,,,3.0,,,,,,,,,,10,752,,,7.0,,,10.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,55.8,,,восточный,,,2.0,,,,,,,,,,10,751,,,6.8,,,10.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,61.1,,4.8,восточный,,,5.0,,,0,,,0,,,,10,752,,,5.4,,,10.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,56.8,,4.8,северо-восточный,,,6.0,,,0,,,,,,,10,753,,,8.9,,,10.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,16.0,,,,,,,,29.0,,,северо-восточный,,,10.0,,,,,,,,,,10,753,,,15.1,,,10.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,15.0,,,,,,,,26.1,,,северо-восточный,,,11.0,,,,,,,,,,10,752,,,14.9,,,10.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,17.0,,,,,,,,21.1,,,северо-восточный,,,11.0,,,0,,,,,,,10,752,,,12.5,,,10.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,14.0,,,,,,,,34.9,,,северо-восточный,,16.3,4.0,,,0,,,,,,,10,753,,,6.5,,,4.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,11.0,,,,,,,,49.1,,,северо-восточный,,,7.0,,,,,,,,,,10,754,,,5.0,,,0.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,11.0,,,,,,,,52.9,,,северо-восточный,,,7.0,,,,,,,,,,10,754,,,4.8,,,0.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,12.0,,,,,,,,61.2,,1.6,северо-восточный,,,8.0,,,0,,,0,,,,10,755,,,2.2,,,0.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,19.0,,,,,,,,33.1,,1.6,северо-восточный,,,13.0,,,0,,,,,,,10,757,,,8.4,,,0.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,20.0,,,,,,,,21.1,,,северо-восточный,,,13.0,,,,,,,,,,10,758,,,11.3,,,0.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,19.0,,,,,,,,16.9,,,восточный,,,14.0,,,,,,,,,,10,758,,,11.2,,,0.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,18.0,,,,,,,,22.9,,,северо-восточный,,,10.0,,,0,,,,,,,10,758,,,9.9,,,0.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,13.0,,,,,,,,32.0,,,северо-восточный,,12.3,6.0,,,0,,,,,,,10,759,,,5.5,,,0.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,34.9,,,северо-восточный,,,6.0,,,,,,,,,,10,758,,,4.7,,,0.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,48.2,,,северо-восточный,,,5.0,,,,,,,,,,10,757,,,1.8,,,0.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,62.2,,0.5,восточный,,,4.0,,,0,,,0,,,,10,757,,,0.7,,,0.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,47.1,,0.5,северо-восточный,,,7.0,,,0,,,,,,,10,758,,,9.3,,,0.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,16.0,,,,,,,,21.0,,,северо-восточный,,,11.0,,,,,,,,,,10,758,,,14.2,,,0.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,17.0,,,,,,,,22.0,,,восточный,,,10.0,,,,,,,,,,10,757,,,14.6,,,0.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,15.0,,,,,,,,26.9,,,северо-восточный,,,8.0,,,0,,,,,,,10,757,,,13.0,,,0.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,12.0,,,,,,,,34.9,,,восточный,,15.8,5.0,,,0,,,,,,,10,758,,,6.6,,,0.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,56.0,,,восточный,,,6.0,,,,,,,,,,10,757,,,4.3,,,0.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,55.0,,,восточный,,,5.0,,,,,,,,,,10,757,,,2.3,,,0.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,38.1,,1.4,восточный,,,8.0,,,0,,,0,,,,10,756,,,2.9,,,0.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,16.0,,,,,,,,25.0,,1.4,восточный,,,12.0,,,0,,,,,,,10,756,,,7.7,,,0.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,17.0,,,,,,,,19.1,,,восточный,,,10.0,,,,,,,,,,10,754,,,12.7,,,0.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,16.0,,,,,,,,20.0,,,северо-восточный,,,10.0,,,,,,,,,,10,753,,,13.8,,,0.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,14.0,,,,,,,,21.0,,,северо-восточный,,,9.0,,,0,,,,,,,10,752,,,11.2,,,0.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,12.0,,,,,,,,49.1,,,восточный,,14.3,6.0,,,0,,,,,,,10,752,,,4.9,,,0.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,13.0,,,юго-восточный,,,5.0,,,,,,,,,,10,751,,,7.8,,,0.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,25.1,,,юго-западный,,,1.0,,,,,,,,,,10,750,,,3.9,,,0.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,65.1,,1.9,юго-восточный,,,2.0,,,0,,,0,,,,10,749,,,2.9,,,0.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,29.9,,1.9,северный,,,1.0,,,0,,,,,,,10,749,,,11.5,,,0.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,28.0,,,западный,,,3.0,,,,,,,,,,10,749,,,16.0,,,0.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,29.1,,,западный,,,5.0,,,,,,,,,,10,748,,,16.8,,,0.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,35.0,,,западный,,,6.0,,,0,,,,,,,10,747,,,13.8,,,0.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,53.9,,,южный,,17.8,4.0,,,0,,,,,,,10,747,,,7.1,,,0.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,49.0,,,южный,,,2.0,,,,,,,,,,10,747,,,5.9,,,0.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,50.1,,,южный,,,3.0,,,,,,,,,,10,746,,,6.0,,,0.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,55.1,,4.4,юго-восточный,,,3.0,,,0,,,0,,,,10,745,,,5.5,,,0.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,44.0,,4.4,западный,,,2.0,,,0,,,,,,,10,745,,,12.4,,,0.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,33.0,,,северо-западный,,,2.0,,,,,,,,,,10,745,,,17.2,,,0.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,28.0,,,западный,,,5.0,,,,,,,,,,10,744,,,18.9,,,0.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,10.0,,,,,,,,41.0,,,западный,,,8.0,,,0,,,,,,,10,744,,,14.5,,,0.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,10.0,,,,,,,,70.1,,,южный,,19.5,4.0,,,0,,,,,,,10,745,,,7.8,,,0.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,69.2,,,южный,,,3.0,,,,,,,,,,10,745,,,8.1,,,7.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,78.3,,,северо-западный,,,2.0,,,,,,,,,,10,746,,,6.1,,,0.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,86.8,,4.1,северо-восточный,,,2.0,,,0,,,0,,,,10,747,,,4.4,,,0.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,58.9,,3.4,северный,,,4.0,,,0,,,,,,,10,748,,,9.1,,,0.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,10.0,,,,,,,,30.0,,,северный,,,5.0,,,,,,,,,,10,748,,,13.2,,,0.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,10.0,,,,,,,,26.1,,,северо-западный,,,5.0,,,,,,,,,,10,749,,,14.3,,,10.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,10.0,,,,,,,,28.9,,,северный,,,3.0,,,0,,,,,,,10,749,,,13.4,,,2.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,48.1,,,северо-западный,,14.7,4.0,,,0,,,,,,,10,751,,,6.7,,,0.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,56.8,,,южный,,,3.0,,,,,,,,,,10,751,,,4.1,,,0.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,62.0,,,южный,,,3.0,,,,,,,,,,10,752,,,3.8,,,1.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,59.8,,1.7,южный,,,3.0,,,0,,,0,,,,10,752,,,3.9,,,0.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,56.0,,1.7,северо-западный,,,1.0,,,0,,,,,,,10,753,,,9.1,,,0.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,35.1,,,северо-восточный,,,4.0,,,,,,,,,,10,754,,,12.5,,,0.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,24.0,,,северный,,,4.0,,,,,,,,,,10,753,,,13.8,,,10.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,21.1,,,северо-западный,,,2.0,,,0,,,,,,,10,753,,,13.1,,,10.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,62.8,,,юго-восточный,,14.4,1.0,,,0,,,,,,,10,753,,,7.1,,,6.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,72.8,,,южный,,,3.0,,,,,,,,,,10,753,,,2.9,,,2.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,59.9,,,юго-восточный,,,4.0,,,,,,,,,,10,752,,,4.3,,,0.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,55.0,,2.2,юго-восточный,,,3.0,,,0,,,0,,,,10,752,,,3.6,,,2.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,28.9,,2.2,юго-восточный,,,2.0,,,0,,,,,,,10,751,,,10.4,,,1.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,22.1,,,юго-западный,,,3.0,,,,,,,,,,10,751,,,14.3,,,0.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,13.0,,,,,,,,28.0,,,западный,,,5.0,,,,,,,,,,10,749,,,14.6,,,0.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,27.9,,,западный,,,5.0,,,0,,,,,,,10,748,,,12.2,,,1.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,36.9,,,восточный,,15.9,5.0,,,0,,,,,,,10,747,,,8.5,,,10.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,10.0,,,,,,,,39.1,,,южный,,,2.0,,,,,,,,,,10,746,,,7.1,,,6.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,43.0,,,юго-восточный,,,3.0,,,,,,,,,,10,744,,,4.7,,,7.0
