id,friendly_name,region_key
1987,"Абакан, Хакасия республика",RU_KK
1433,"Анадырь, Чукотский автономный округ",RU_CHU
1179,"Архангельск I, Архангельская область",RU_ARK
2532,"Астрахань I, Астраханская область",RU_AST
1980,"Барнаул, Алтайский край",RU_ALT
2455,"Белгород, Белгородская область",RU_BEL
5019,"Биробиджан, Еврейская автономная область",RU_YEV
2200,"Благовещенск, Амурская область",RU_AMU
1581,"Брянск, Брянская область",RU_BRY
1486,"Великий Новгород, Новгородская область",RU_NGR
2262,"Владивосток, Приморский край",RU_PRI
2716,"Владикавказ, Северная Осетия-Алания республика",RU_SE
1647,"Владимир, Владимирская область",RU_VLA
2496,"Волгоград II, Волгоградская область",RU_VGG
1590,"Вологда I, Вологодская область",RU_VLG
2446,"Воронеж I, Воронежская область",RU_VOR
2616,"Горно-Алтайск, Алтай республика",RU_AL
2718,"Грозный, Чеченская республика",RU_CE
1768,"Екатеринбург, Свердловская область",RU_SVE
1617,"Иваново, Ивановская область",RU_IVA
1759,"Ижевск, Удмуртия республика",RU_UD
4994,"Иркутск, Иркутская область",RU_IRK
1634,"Йошкар-Ола, Марий Эл республика",RU_ME
1656,"Казань, Татарстан республика",RU_TA
1557,"Калининград, Калининградская область",RU_KGD
16186,"Калуга, Калужская область",RU_KLU
1935,"Кемерово, Кемеровская область",RU_KEM
1599,"Киров I, Кировская область",RU_KIR
1614,"Кострома I, Костромская область",RU_KOS
2535,"Краснодар I, Краснодарский край",RU_KDA
1913,"Красноярск, Красноярский край",RU_KYA
1807,"Курган, Курганская область",RU_KGN
2430,"Курск I, Курская область",RU_KRS
2628,"Кызыл, Тыва республика",RU_TY
1705,"Липецк, Липецкая область",RU_LIP
1452,"Магадан, Магаданская область",RU_MAG
2697,"Майкоп, Адыгея республика",RU_AD
2740,"Махачкала II, Дагестан республика",RU_DA
1659,"Москва (ВДНХ), Москва и область",RU_MOW
1659,"Москва (ВДНХ), Москва и область",RU_MOS
1138,"Мурманск, Мурманская область",RU_MUR
2717,"Назрань, Ингушетия республика",RU_IN
2715,"Нальчик, Кабардино-Балкария республика",RU_KB
1238,"Нарьян-Мар, Ненецкий автономный округ",RU_NEN
1631,"Нижний Новгород I, Нижегородская область",RU_NIZ
1930,"Новосибирск, Новосибирская область",RU_NVS
1815,"Омск, Омская область",RU_OMS
1700,"Орел, Орловская область",RU_ORL
2556,"Оренбург, Оренбургская область",RU_ORE
1709,"Пенза, Пензенская область",RU_PNZ
1732,"Пермь I, Пермский край",RU_PER
1206,"Петрозаводск, Карелия республика",RU_KR
2322,"Петропавловск-Камчатский, Камчатский край",RU_KAM
1498,"Псков, Псковская область",RU_PSK
2513,"Ростов-на-Дону, Ростовская область",RU_ROS
1680,"Рязань I, Рязанская область",RU_RYA
1248,"Салехард, Ямало-Ненецкий АО",RU_YAN
1834,"Самара (обсерватория), Самарская область",RU_SAM
1468,"Санкт-Петербург, Ленобласть и Санкт-Петербург",RU_SPE
1468,"Санкт-Петербург, Ленобласть и Санкт-Петербург",RU_LEN
1685,"Саранск, Мордовия республика",RU_MO
2450,"Саратов, Саратовская область",RU_SAR
5031,"Симферополь I, Крым республика",
1567,"Смоленск, Смоленская область",RU_SMO
2539,"Ставрополь, Ставропольский край",RU_STA
1302,"Сыктывкар I, Коми республика",RU_KO
1707,"Тамбов АМСГ, Тамбовская область",RU_TAM
1624,"Тверь, Тверская область",RU_TVE
1887,"Томск, Томская область",RU_TOM
1679,"Тула, Тульская область",RU_TUL
1754,"Тюмень, Тюменская область",RU_TYU
2107,"Улан-Удэ, Бурятия республика",RU_BU
1686,"Ульяновск I, Ульяновская область",RU_ULY
1819,"Уфа город, Башкортостан республика",RU_BA
2223,"Хабаровск, Хабаровский край",RU_KHA
1318,"Ханты-Мансийск, Ханты-Мансийский автономный округ",RU_KHM
1654,"Чебоксары, Чувашская республика",RU_CU
1803,"Челябинск Город, Челябинская область",RU_CHE
2700,"Черкесск, Карачаево-Черкесия",RU_KC
2094,"Чита, Забайкальский край",RU_ZAB
2530,"Элиста, Калмыкия республика",RU_KL
2292,"Южно-Сахалинск, Сахалинская область",RU_SAK
1401,"Якутск, Саха(Якутия) республика",RU_SA
1613,"Ярославль I, Ярославская область",RU_YAR
